lantai,toko,x,y
1,aglazebonaurum,207,82
1,stevhmns,285,77
1,aldomarhen,304,77
1,jlpedro,327,76
1,jlwatchzone,345,76
1,kurasucarles,358,97
1,tissotgc,382,112
1,jlstacato,382,127
1,jlmarks,383,153
1,seibumango,384,175
1,jlgues,446,164
1,tomybershka,491,153
1,vicstradvs,577,135
1,jlkelvcln,626,124
1,arambath,663,116
1,jldigimap,695,110
1,swagior,740,110
1,jlcntraldept,729,214
1,jlcntraldept2,777,314
1,cntralsocial,1004,471
1,jlneskalatorwest1,212,98
1,jlnseibu,215,132
1,jlnstar,269,196
2,jlnmothercare,215,78
2,earlychildren,270,73
2,jlnentertainer,287,72
2,gingerlugua,303,70
2,moobui,326,69
2,gcardguess,359,89
2,jln1A,381,123
2,havaiteva,381,135
2,jlnskecherskids,385,155
2,jlncotton,377,182
2,typoteva,415,169
2,jlnbirken,441,164
2,northdeux,460,157
2,conversegior,516,145
2,kedscasio,543,139
2,mlbfredtimber,566,136
2,jlnnewera,593,131
2,jlnourdaily,623,123
2,jlndope,639,119
2,jlnowndays,667,113
2,acmeinstru,684,109
2,jlneskalatoreast,748,100
2,jln35,739,133
2,jlnDS1,778,305
2,jln10,994,463
2,jlneskalatorwest,212,98
3,jlneverlash,194,92
3,jlnbrow,218,92
3,jlnjohnny,263,89
3,jlnbarberia,308,94
3,jlnZAP,315,106
3,jlnsaber,334,120
3,jlnurban,343,132
3,jlnnailvans,344,152
3,jlnbags,345,169
3,jlnadidas,340,191
3,jlnadids1,292,190
3,jlnalunever,196,127
3,jlnpipil,243,179
3,jlnpipiladi,273,185
3,jlnalun,203,143
3,jlnadivans,376,180
3,jlnreefil,416,173
3,jlnhoops,450,166
3,jlnnikun,514,151
3,jlnbridar,620,123
3,jlnhoka,668,117
3,jlnowlhush,669,149
3,jlncrocodile,688,236
3,jlnniuchi,696,293
3,jlnsociolla,713,311
3,jlncalldi,752,335
3,jlnsoul,775,348
3,jlnminiso,802,367
3,jlnlocal,829,388
3,jlngramed,879,405